Date,Fiscal_Year,Brand_Model,Metric_Type,Units
2025-04-01,2024-25,BAIC BJ40L                       SAZGAR,Prod,29
2025-04-01,2024-25,BAIC BJ40L                       SAZGAR,Sale,10
2025-05-01,2024-25,BAIC BJ40L                       SAZGAR,Prod,0
2025-05-01,2024-25,BAIC BJ40L                       SAZGAR,Sale,4
2025-06-01,2024-25,BAIC BJ40L                       SAZGAR,Prod,0
2025-06-01,2024-25,BAIC BJ40L                       SAZGAR,Sale,8
2021-07-01,2021-22,BAIC D20,Prod,2
2021-07-01,2021-22,BAIC D20,Sale,0
2021-08-01,2021-22,BAIC D20,Prod,0
2021-08-01,2021-22,BAIC D20,Sale,0
2021-09-01,2021-22,BAIC D20,Prod,0
2021-09-01,2021-22,BAIC D20,Sale,0
2021-10-01,2021-22,BAIC D20,Prod,0
2021-10-01,2021-22,BAIC D20,Sale,0
2021-11-01,2021-22,BAIC D20,Prod,2
2021-11-01,2021-22,BAIC D20,Sale,0
2021-12-01,2021-22,BAIC D20,Prod,9
2021-12-01,2021-22,BAIC D20,Sale,9
2022-01-01,2021-22,BAIC D20,Prod,1
2022-01-01,2021-22,BAIC D20,Sale,1
2022-02-01,2021-22,BAIC D20,Prod,1
2022-02-01,2021-22,BAIC D20,Sale,1
2022-03-01,2021-22,BAIC D20,Prod,0
2022-03-01,2021-22,BAIC D20,Sale,0
2022-04-01,2021-22,BAIC D20,Prod,1
2022-04-01,2021-22,BAIC D20,Sale,1
2022-05-01,2021-22,BAIC D20,Prod,1
2022-05-01,2021-22,BAIC D20,Sale,1
2022-06-01,2021-22,BAIC D20,Prod,1
2022-06-01,2021-22,BAIC D20,Sale,1
2022-07-01,2022-23,BAIC D20,Prod,0
2022-07-01,2022-23,BAIC D20,Sale,1
2022-08-01,2022-23,BAIC D20,Prod,0
2022-08-01,2022-23,BAIC D20,Sale,0
2022-09-01,2022-23,BAIC D20,Prod,0
2022-09-01,2022-23,BAIC D20,Sale,0
2022-10-01,2022-23,BAIC D20,Prod,0
2022-10-01,2022-23,BAIC D20,Sale,0
2022-11-01,2022-23,BAIC D20,Prod,0
2022-11-01,2022-23,BAIC D20,Sale,0
2022-12-01,2022-23,BAIC D20,Prod,0
2022-12-01,2022-23,BAIC D20,Sale,0
2023-01-01,2022-23,BAIC D20,Prod,0
2023-01-01,2022-23,BAIC D20,Sale,0
2023-02-01,2022-23,BAIC D20,Prod,0
2023-02-01,2022-23,BAIC D20,Sale,0
2023-03-01,2022-23,BAIC D20,Prod,0
2023-03-01,2022-23,BAIC D20,Sale,0
2023-04-01,2022-23,BAIC D20,Prod,0
2023-04-01,2022-23,BAIC D20,Sale,0
2023-05-01,2022-23,BAIC D20,Prod,0
2023-05-01,2022-23,BAIC D20,Sale,0
2023-06-01,2022-23,BAIC D20,Prod,0
2023-06-01,2022-23,BAIC D20,Sale,0
2023-07-01,2023-24,BAIC D20,Prod,0
2023-07-01,2023-24,BAIC D20,Sale,0
2023-08-01,2023-24,BAIC D20,Prod,0
2023-08-01,2023-24,BAIC D20,Sale,0
2023-09-01,2023-24,BAIC D20,Prod,0
2023-09-01,2023-24,BAIC D20,Sale,0
2023-10-01,2023-24,BAIC D20,Prod,0
2023-10-01,2023-24,BAIC D20,Sale,0
2023-11-01,2023-24,BAIC D20,Prod,0
2023-11-01,2023-24,BAIC D20,Sale,0
2023-12-01,2023-24,BAIC D20,Prod,0
2023-12-01,2023-24,BAIC D20,Sale,0
2024-01-01,2023-24,BAIC D20,Prod,0
2024-01-01,2023-24,BAIC D20,Sale,0
2024-02-01,2023-24,BAIC D20,Prod,0
2024-02-01,2023-24,BAIC D20,Sale,0
2024-03-01,2023-24,BAIC D20,Prod,0
2024-03-01,2023-24,BAIC D20,Sale,0
2024-04-01,2023-24,BAIC D20,Prod,0
2024-04-01,2023-24,BAIC D20,Sale,0
2024-05-01,2023-24,BAIC D20,Prod,0
2024-05-01,2023-24,BAIC D20,Sale,0
2024-06-01,2023-24,BAIC D20,Prod,0
2024-06-01,2023-24,BAIC D20,Sale,0
2024-07-01,2024-25,BAIC D20                            Sazgar,Prod,0
2024-07-01,2024-25,BAIC D20                            Sazgar,Sale,0
2024-08-01,2024-25,BAIC D20                            Sazgar,Prod,0
2024-08-01,2024-25,BAIC D20                            Sazgar,Sale,0
2024-09-01,2024-25,BAIC D20                            Sazgar,Prod,0
2024-09-01,2024-25,BAIC D20                            Sazgar,Sale,0
2024-10-01,2024-25,BAIC D20                            Sazgar,Prod,0
2024-10-01,2024-25,BAIC D20                            Sazgar,Sale,0
2024-11-01,2024-25,BAIC D20                            Sazgar,Prod,0
2024-11-01,2024-25,BAIC D20                            Sazgar,Sale,0
2024-12-01,2024-25,BAIC D20                            Sazgar,Prod,0
2024-12-01,2024-25,BAIC D20                            Sazgar,Sale,0
2025-01-01,2024-25,BAIC D20                            Sazgar,Prod,0
2025-01-01,2024-25,BAIC D20                            Sazgar,Sale,0
2025-02-01,2024-25,BAIC D20                            Sazgar,Prod,0
2025-02-01,2024-25,BAIC D20                            Sazgar,Sale,0
2025-03-01,2024-25,BAIC D20                            Sazgar,Prod,0
2025-03-01,2024-25,BAIC D20                            Sazgar,Sale,0
2025-04-01,2024-25,BAIC D20                            Sazgar,Prod,0
2025-04-01,2024-25,BAIC D20                            Sazgar,Sale,0
2025-05-01,2024-25,BAIC D20                            Sazgar,Prod,0
2025-05-01,2024-25,BAIC D20                            Sazgar,Sale,0
2025-06-01,2024-25,BAIC D20                            Sazgar,Prod,0
2025-06-01,2024-25,BAIC D20                            Sazgar,Sale,4
2021-07-01,2021-22,BAIC X25 ,Prod,1
2021-07-01,2021-22,BAIC X25 ,Sale,1
2021-08-01,2021-22,BAIC X25 ,Prod,1
2021-08-01,2021-22,BAIC X25 ,Sale,0
2021-09-01,2021-22,BAIC X25 ,Prod,6
2021-09-01,2021-22,BAIC X25 ,Sale,3
2021-10-01,2021-22,BAIC X25 ,Prod,0
2021-10-01,2021-22,BAIC X25 ,Sale,1
2021-11-01,2021-22,BAIC X25 ,Prod,1
2021-11-01,2021-22,BAIC X25 ,Sale,1
2021-12-01,2021-22,BAIC X25 ,Prod,3
2021-12-01,2021-22,BAIC X25 ,Sale,1
2022-01-01,2021-22,BAIC X25 ,Prod,0
2022-01-01,2021-22,BAIC X25 ,Sale,0
2022-02-01,2021-22,BAIC X25 ,Prod,0
2022-02-01,2021-22,BAIC X25 ,Sale,0
2022-03-01,2021-22,BAIC X25 ,Prod,0
2022-03-01,2021-22,BAIC X25 ,Sale,0
2022-04-01,2021-22,BAIC X25 ,Prod,0
2022-04-01,2021-22,BAIC X25 ,Sale,3
2022-05-01,2021-22,BAIC X25 ,Prod,0
2022-05-01,2021-22,BAIC X25 ,Sale,1
2022-06-01,2021-22,BAIC X25 ,Prod,0
2022-06-01,2021-22,BAIC X25 ,Sale,0
2022-07-01,2022-23,BAIC X25 ,Prod,0
2022-07-01,2022-23,BAIC X25 ,Sale,0
2022-08-01,2022-23,BAIC X25 ,Prod,0
2022-08-01,2022-23,BAIC X25 ,Sale,0
2022-09-01,2022-23,BAIC X25 ,Prod,0
2022-09-01,2022-23,BAIC X25 ,Sale,0
2022-10-01,2022-23,BAIC X25 ,Prod,0
2022-10-01,2022-23,BAIC X25 ,Sale,0
2022-11-01,2022-23,BAIC X25 ,Prod,0
2022-11-01,2022-23,BAIC X25 ,Sale,0
2022-12-01,2022-23,BAIC X25 ,Prod,0
2022-12-01,2022-23,BAIC X25 ,Sale,0
2023-01-01,2022-23,BAIC X25 ,Prod,0
2023-01-01,2022-23,BAIC X25 ,Sale,0
2023-02-01,2022-23,BAIC X25 ,Prod,0
2023-02-01,2022-23,BAIC X25 ,Sale,0
2023-03-01,2022-23,BAIC X25 ,Prod,0
2023-03-01,2022-23,BAIC X25 ,Sale,0
2023-04-01,2022-23,BAIC X25 ,Prod,0
